Feature1,Feature2,Target
0.1774843234230748,0.018696143440559476,0
0.22947274997098993,-0.0319359029647807,0
0.1446021394410109,-0.054004446552160835,0
0.21480612641849256,0.03122077712214264,0
0.1810209424869703,0.08178157853992067,0
0.2677883499904362,0.07181271050930713,0
0.2579440663896176,-0.03280389913460792,0
0.2173143874791827,0.1586986608629282,0
0.2251430320791734,0.02067420613646059,0
0.13132360179823874,-0.020177080581341565,0
0.132039133229609,-0.4533134089268506,1
0.345567536309095,-0.8705764582166478,1
0.893763229443462,-0.7340132258501727,1
0.354494746222123,-0.5798762493700467,1
0.1162073755789264,-0.20254835887034607,1
0.4637662312546117,0.21615653008985813,1
0.7428058718209054,0.0781553476513607,1
0.778979905789591,0.2900345671754824,1
0.185249983744767,0.2767625139428933,1
0.4838195539336727,0.5134172074662717,1
0.0311869677892024,-0.17883852203056468,1
0.2828948955335516,0.8032491578896907,1
0.4671554556612274,0.5393934148427577,1
0.676766027312717,0.6871462115667859,1
0.209137796514228,-0.1302721033748087,1
0.526380644690174,0.16041840740594463,1
0.414366843771698,0.14607532784025777,1
0.3397489914998595,0.19799869610010856,1
0.0262959113368547,0.3647962975819392,1
0.2909367953770353,0.34819815656326377,1
0.468418201151478,0.22192640206345996,1
0.0140540690224045,0.2245527416116158,1
0.668074255684674,-0.3985539446554988,1
