Feature1,Feature2,Target
0.0780554040319994,1.7199661087439155,0
2.565831641132684,0.4336139673778796,1
1.1395221795472308,0.8780090053661078,1
-1.0190003292803154,1.0174532547132524,0
-0.9068867129578699,1.1297540116042577,0
2.65268887326562,0.1526145415756911,1
-0.5733718068598067,1.3134102803934815,0
1.7942660522016485,0.5496473588216242,1
2.6074480000900095,0.22898683462539016,1
0.010403991706210536,1.2984902170024923,1
-1.6797900211987624,0.5844203715470198,0
-0.17835541904377616,1.1577667622457297,1
-0.7432670587950087,1.2208508208083637,0
-1.6577463219917399,0.4254458683093668,0
0.40266064810350977,0.7751556381984555,1
0.5853408964314812,0.9147595887860711,1
-1.0386805849685978,1.033897068670986,0
-0.16100115888103095,1.4764493738463538,1
-0.47280776810026215,1.440573680513437,0
-1.9700722237388189,0.38902993408190734,0
0.7701667444162537,0.9474461661685653,1
-1.2445827692387454,0.6589872851053145,0
-1.3052821058699948,0.9289296529221228,0
-0.392358560147837,1.5057858859406243,0
1.4415083790253105,1.0320500869371076,1
1.089903673490949,1.3398884639107893,1
1.5439539157438962,0.8177570274116599,1
0.5143328841696448,1.3976514676539593,1
-0.5454550377971051,1.192554754507731,0
-0.606129453566613,1.4483951091195872,0
