Feature1,Feature2,Target
0.360391860357611,0.945128496815226,0
0.349404807228348,1,0
0.303278676569094,0.0324482853194389,0
0.362598575416332,0.168169745708924,1
0.450635439390194,0.0692799752283236,0
0.58541803560927,0.28942300242124,0
0.276293952857175,0.864002520686645,1
0.55113266103814,0.364234899472545,0
0.67254356029795,0.846994530255591,0
0,0.969739735177829,1
0.447011566942863,0.722181316230102,1
0.475470859075322,0.562509331280244,1
0.936076440572745,0.535041975951407,0
0.878397497643369,0.298027154350331,0
0.377433662441274,0.251216319429909,1
0.708665211651865,0.350393199183205,0
0.810475195307554,0.240085408031658,0
0.386032456325528,0.781932434427698,1
0.666596106567105,0.265367602388572,0
0.965906643995954,0.307670388421177,0
0.69153339304532,0.81972898676746,0
0.662095427645019,0.900255295636612,0
0.368054058891194,0.431737629320881,1
0.243731369365861,0.265224372128355,1
0.527731606678418,0.644575326179266,1
0.763696906340293,0.166253081898978,0
0.919492787371402,0.364624444065456,0
0.260366597744654,0.948697039070961,1
0.152468689265309,0.971310559830476,1
1,0.900238496678336,0
0.523033852334774,0.778525811471577,1
0.745532146839892,0.703924715001944,0
0.637023910268204,0.660153089819202,0
0.469635924738951,0.0690548540515835,0
0.324409702467197,0,0
0.243143534764734,0.981056484922737,1
0.412482056106169,0.582677062043261,1
